,wk_ending,itemdesc,totunits,wavg_price,agc_atpd,total_week_units,item_proportion,rev,adus,cost,cost_total,profit
1316,2015-04-25,McChicken,70379.0,1.0,1295.6953125,1478590.0,0.0475987258131057,70379.0,10054.142857142857,0.6295555555555555,44307.49044444444,26071.50955555556
1317,2015-04-25,McDouble,61146.0,1.29,1295.6953125,1478590.0,0.0413542631831677,78878.34,8735.142857142857,0.723968253968254,44267.762857142865,34610.57714285713
1318,2015-04-25,Total All Day Breakfast Items,330413.0,1.5,1295.6953125,1478590.0,0.2234649226628071,495619.5,47201.857142857145,1.0560370370370369,348928.3655185185,146691.1344814815
1319,2015-04-25,Total Fries,275421.0,1.49,1295.6953125,1478590.0,0.1862727328062546,410377.29,39345.857142857145,0.8779365079365079,241802.15095238094,168575.13904761904
1320,2015-05-02,Beef Category,304865.0,1.96,1365.5125,1564197.0,0.1949019209217253,597535.4,43552.142857142855,1.1144761904761904,339764.7838095238,257770.61619047623
1321,2015-05-02,Big Mac,27412.0,3.99,1365.5125,1564197.0,0.0175246468315691,109373.88,3916.0,2.343206349206349,64231.972444444444,45141.90755555556
1322,2015-05-02,Cheeseburger,70482.0,1.0,1365.5125,1564197.0,0.0450595417329147,70482.0,10068.857142857143,0.5994920634920634,42253.39961904761,28228.60038095239
1323,2015-05-02,Chicken Category,216291.0,1.94,1365.5125,1564197.0,0.1382760611355219,419604.54,30898.714285714286,1.256063492063492,271675.22876190476,147929.31123809522
1324,2015-05-02,Core QP and QPC,59699.0,3.73,1365.5125,1564197.0,0.0381659087698032,222677.27,8528.42857142857,2.3965079365079363,143069.1273015873,79608.1426984127
1325,2015-05-02,Hamburger,19717.0,0.89,1365.5125,1564197.0,0.0126051897555103,17548.13,2816.714285714286,0.534,10528.878,7019.252
1326,2015-05-02,Large Burgers,92377.0,4.09,1365.5125,1564197.0,0.0590571392222335,377821.93,13196.714285714286,2.4187936507936505,223440.90107936505,154381.02892063494
1327,2015-05-02,McChicken,74667.0,1.0,1365.5125,1564197.0,0.0477350359321747,74667.0,10666.714285714286,0.6295555555555555,47007.024666666664,27659.975333333336
1328,2015-05-02,McDouble,64968.0,1.29,1365.5125,1564197.0,0.041534410307653,83808.72,9281.142857142857,0.723968253968254,47034.769523809526,36773.950476190475
1329,2015-05-02,Total All Day Breakfast Items,342733.0,1.46,1365.5125,1564197.0,0.2191111477646357,500390.18,48961.857142857145,1.0560370370370369,361938.74181481474,138451.43818518525
1330,2015-05-02,Total Fries,290986.0,1.49,1365.5125,1564197.0,0.186028997626258,433569.14,41569.42857142857,0.8779365079365079,255467.2326984127,178101.90730158731
1331,2015-05-09,Beef Category,289337.0,2.03,1357.0396825396826,1496413.0,0.1933537064968027,587354.11,41333.857142857145,1.1144761904761904,322459.1975238095,264894.9124761905
1332,2015-05-09,Big Mac,25544.0,3.99,1357.0396825396826,1496413.0,0.0170701537610272,101920.56,3649.142857142857,2.343206349206349,59854.86298412698,42065.69701587302
1333,2015-05-09,Cheeseburger,67551.0,1.0,1357.0396825396826,1496413.0,0.0451419494484477,67551.0,9650.142857142857,0.5994920634920634,40496.28838095238,27054.711619047623
1334,2015-05-09,Chicken Category,206965.0,2.09,1357.0396825396826,1496413.0,0.1383074057763465,432556.85,29566.42857142857,1.256063492063492,259961.18063492063,172595.66936507935
1335,2015-05-09,Core QP and QPC,54154.0,3.73,1357.0396825396826,1496413.0,0.0361892071239691,201994.42,7736.285714285715,2.3965079365079363,129780.49079365078,72213.92920634923
1336,2015-05-09,Hamburger,18911.0,0.89,1357.0396825396826,1496413.0,0.0126375539373154,16830.79,2701.5714285714284,0.534,10098.474,6732.316000000001
1337,2015-05-09,Large Burgers,84414.0,4.11,1357.0396825396826,1496413.0,0.0564108972589786,346941.54000000004,12059.142857142857,2.4187936507936505,204180.04723809523,142761.4927619048
1338,2015-05-09,McChicken,72482.0,1.0,1357.0396825396826,1496413.0,0.048437162735154,72482.0,10354.57142857143,0.6295555555555555,45631.44577777778,26850.55422222222
1339,2015-05-09,McDouble,63553.0,1.29,1357.0396825396826,1496413.0,0.0424702271364924,81983.37,9079.0,0.723968253968254,46010.35444444445,35973.01555555555
1340,2015-05-09,Total All Day Breakfast Items,333733.0,1.51,1357.0396825396826,1496413.0,0.223021986577235,503936.83,47676.142857142855,1.0560370370370369,352434.4084814814,151502.4215185186
1341,2015-05-09,Total Fries,279769.0,1.49,1357.0396825396826,1496413.0,0.1869597497482312,416855.81,39967.0,0.8779365079365079,245619.41888888887,171236.39111111112
1342,2015-05-16,Beef Category,267198.0,1.76,1318.8238095238094,1420494.0,0.1881021672742018,470268.48,38171.142857142855,1.1144761904761904,297785.80914285715,172482.67085714283
1343,2015-05-16,Big Mac,25166.0,3.99,1318.8238095238094,1420494.0,0.0177163719100538,100412.34,3595.1428571428573,2.343206349206349,58969.13098412698,41443.20901587301
1344,2015-05-16,Cheeseburger,65914.0,1.0,1318.8238095238094,1420494.0,0.0464021671334057,65914.0,9416.285714285714,0.5994920634920634,39514.91987301587,26399.080126984132
1345,2015-05-16,Chicken Category,200331.0,2.09,1318.8238095238094,1420494.0,0.1410291067755302,418691.79,28618.714285714286,1.256063492063492,251628.45542857144,167063.33457142854
1346,2015-05-16,Core QP and QPC,34624.0,4.23,1318.8238095238094,1420494.0,0.0243746189705834,146459.52000000002,4946.285714285715,2.3965079365079363,82976.69079365078,63482.82920634924
1347,2015-05-16,Hamburger,18402.0,0.89,1318.8238095238094,1420494.0,0.0129546481716923,16377.78,2628.8571428571427,0.534,9826.668,6551.112000000001
1348,2015-05-16,Large Burgers,64362.0,4.14,1318.8238095238094,1420494.0,0.0453095894808425,266458.68,9194.57142857143,2.4187936507936505,155678.39695238092,110780.28304761907
1349,2015-05-16,McChicken,70937.0,1.0,1318.8238095238094,1420494.0,0.0499382609148648,70937.0,10133.857142857143,0.6295555555555555,44658.78244444444,26278.21755555556
1350,2015-05-16,McDouble,63543.0,1.29,1318.8238095238094,1420494.0,0.0447330294953727,81970.47,9077.57142857143,0.723968253968254,46003.11476190477,35967.35523809523
1351,2015-05-16,Total All Day Breakfast Items,335714.0,1.51,1318.8238095238094,1420494.0,0.2363360915287217,506928.14,47959.142857142855,1.0560370370370369,354526.4178518518,152401.72214814823
1352,2015-05-16,Total Fries,274303.0,1.51,1318.8238095238094,1420494.0,0.1931039483447307,414197.53,39186.142857142855,0.8779365079365079,240820.61793650792,173376.9120634921
1353,2015-05-23,Beef Category,270596.0,1.77,1357.0904761904762,1442517.0,0.1875860041857392,478954.92,38656.57142857143,1.1144761904761904,301572.79923809523,177382.12076190475
